image_path,caption
data/sample_images/sample_000.png,a scene with blue square and red ball
data/sample_images/sample_001.png,a scene with red ball and blue square and yellow triangle
data/sample_images/sample_002.png,a scene with red ball
data/sample_images/sample_003.png,a scene with blue square
data/sample_images/sample_004.png,a scene with blue square
data/sample_images/sample_005.png,a scene with blue square and yellow triangle
data/sample_images/sample_006.png,a scene with red ball
data/sample_images/sample_007.png,a scene with red ball and blue square
data/sample_images/sample_008.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_009.png,a scene with red ball and yellow triangle
data/sample_images/sample_010.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_011.png,a scene with blue square
data/sample_images/sample_012.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_013.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_014.png,a scene with red ball and yellow triangle
data/sample_images/sample_015.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_016.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_017.png,a scene with red ball
data/sample_images/sample_018.png,a scene with yellow triangle and red ball
data/sample_images/sample_019.png,a scene with red ball
data/sample_images/sample_020.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_021.png,a scene with yellow triangle
data/sample_images/sample_022.png,a scene with red ball
data/sample_images/sample_023.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_024.png,a scene with red ball and blue square
data/sample_images/sample_025.png,a scene with yellow triangle and red ball
data/sample_images/sample_026.png,a scene with red ball
data/sample_images/sample_027.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_028.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_029.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_030.png,a scene with red ball and yellow triangle
data/sample_images/sample_031.png,a scene with blue square and red ball
data/sample_images/sample_032.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_033.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_034.png,a scene with red ball and yellow triangle
data/sample_images/sample_035.png,a scene with yellow triangle and red ball
data/sample_images/sample_036.png,a scene with blue square
data/sample_images/sample_037.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_038.png,a scene with yellow triangle
data/sample_images/sample_039.png,a scene with red ball
data/sample_images/sample_040.png,a scene with red ball and yellow triangle
data/sample_images/sample_041.png,a scene with blue square and red ball
data/sample_images/sample_042.png,a scene with yellow triangle
data/sample_images/sample_043.png,a scene with yellow triangle and red ball
data/sample_images/sample_044.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_045.png,a scene with blue square
data/sample_images/sample_046.png,a scene with red ball
data/sample_images/sample_047.png,a scene with yellow triangle and red ball
data/sample_images/sample_048.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_049.png,a scene with red ball
data/sample_images/sample_050.png,a scene with blue square and yellow triangle and red ball
data/sample_images/sample_051.png,a scene with yellow triangle and red ball
data/sample_images/sample_052.png,a scene with blue square
data/sample_images/sample_053.png,a scene with red ball and blue square
data/sample_images/sample_054.png,a scene with blue square
data/sample_images/sample_055.png,a scene with red ball and blue square
data/sample_images/sample_056.png,a scene with blue square and yellow triangle and red ball
data/sample_images/sample_057.png,a scene with yellow triangle and red ball
data/sample_images/sample_058.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_059.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_060.png,a scene with blue square
data/sample_images/sample_061.png,a scene with blue square
data/sample_images/sample_062.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_063.png,a scene with red ball
data/sample_images/sample_064.png,a scene with red ball
data/sample_images/sample_065.png,a scene with blue square
data/sample_images/sample_066.png,a scene with yellow triangle
data/sample_images/sample_067.png,a scene with blue square and yellow triangle and red ball
data/sample_images/sample_068.png,a scene with yellow triangle
data/sample_images/sample_069.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_070.png,a scene with blue square and red ball
data/sample_images/sample_071.png,a scene with blue square and red ball
data/sample_images/sample_072.png,a scene with red ball and blue square
data/sample_images/sample_073.png,a scene with blue square
data/sample_images/sample_074.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_075.png,a scene with blue square and red ball
data/sample_images/sample_076.png,a scene with red ball and blue square
data/sample_images/sample_077.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_078.png,a scene with blue square and red ball
data/sample_images/sample_079.png,a scene with blue square
data/sample_images/sample_080.png,a scene with blue square and yellow triangle
data/sample_images/sample_081.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_082.png,a scene with blue square
data/sample_images/sample_083.png,a scene with blue square and yellow triangle and red ball
data/sample_images/sample_084.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_085.png,a scene with red ball and yellow triangle
data/sample_images/sample_086.png,a scene with yellow triangle
data/sample_images/sample_087.png,a scene with red ball
data/sample_images/sample_088.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_089.png,a scene with yellow triangle
data/sample_images/sample_090.png,a scene with red ball
data/sample_images/sample_091.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_092.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_093.png,a scene with red ball and blue square
data/sample_images/sample_094.png,a scene with red ball
data/sample_images/sample_095.png,a scene with blue square and yellow triangle and red ball
data/sample_images/sample_096.png,a scene with blue square and yellow triangle and red ball
data/sample_images/sample_097.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_098.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_099.png,a scene with yellow triangle
data/sample_images/sample_100.png,a scene with red ball
data/sample_images/sample_101.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_102.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_103.png,a scene with blue square and red ball
data/sample_images/sample_104.png,a scene with yellow triangle and red ball and blue square
data/sample_images/sample_105.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_106.png,a scene with red ball and yellow triangle and blue square
data/sample_images/sample_107.png,a scene with yellow triangle
data/sample_images/sample_108.png,a scene with yellow triangle
data/sample_images/sample_109.png,a scene with red ball and yellow triangle
data/sample_images/sample_110.png,a scene with blue square
data/sample_images/sample_111.png,a scene with blue square and yellow triangle
data/sample_images/sample_112.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_113.png,a scene with red ball and blue square
data/sample_images/sample_114.png,a scene with yellow triangle and blue square and red ball
data/sample_images/sample_115.png,a scene with red ball and yellow triangle
data/sample_images/sample_116.png,a scene with yellow triangle and red ball
data/sample_images/sample_117.png,a scene with red ball and blue square
data/sample_images/sample_118.png,a scene with blue square and red ball and yellow triangle
data/sample_images/sample_119.png,a scene with red ball and blue square and yellow triangle
